No,Group,Charge,Use,Open
1,1,2,10.5,50
2,1,2,5,28
3,1,2,10,30
4,2,2,4,20
5,1,3,8,20
6,2,1,5,3
7,2,1,5,10
8,1,3,12,7
9,2,2,6,20
11,1,1,8.5,NA
12,2,2,4,20
13,2,0.5,8,15
15,2,2,5,5
16,2,1,10,60
17,1,2,4,8
18,2,1,5,20
19,2,1,6,8
20,2,1,4,15
21,2,1,5,5
22,1,4,11,NA
23,2,1,8,9
24,2,0.5,6,20
25,1,2,4,43
26,1,2,8.5,53
27,2,2,10,50
28,1,2,11,30
29,2,0.5,0.5,15
30,1,2,4,30
31,1,2,5,na
32,1,2,10,20
33,2,1,4,na
34,1,2,6,na
35,2,2,5,30
36,1,1,6,100
37,1,1,8,na
38,1,2,3.5,23
39,1,2,5,15
40,1,1,4,30
41,1,0.5,12,20
42,1,2,5,100
43,1,3,10,50
44,2,1,5,20
45,1,3,8,38
46,1,2,5.5,100
47,1,1,8,40
48,1,0.1,7,30
49,1,2,5,60
50,2,1,4,18
51,1,1,5,14
52,2,3,4,8
53,1,1,6.5,40
55,2,1,14,30
56,1,1,5,30
58,1,2.5,7,na
59,1,2,5,na
60,1,2,8,20
61,1,2,6,n
62,1,2,6,10
63,1,1,5,50
64,1,1,3,n
65,1,1,5,n
66,2,1,12,n
67,2,2,5,30
68,1,1.5,6,50
69,1,2,4,n
70,1,1,5,10
71,1,2,12,30
72,1,1,6,10
73,1,2,7,1
74,1,2,5,20
76,2,1,5,20